QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Antonio Brown (7572050),Antonio Brown,7572050,10000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Julio Jones (7572084),Julio Jones,7572084,8900,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Odell Beckham Jr. (7572011),Odell Beckham Jr.,7572011,8800,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,WR,A.J. Green (7572063),A.J. Green,7572063,8600,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Cam Newton (7571815),Cam Newton,7571815,8100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Kelvin Benjamin (7572022),Kelvin Benjamin,7572022,8100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Jordy Nelson (7572092),Jordy Nelson,7572092,8000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Drew Brees (7571811),Drew Brees,7571811,7900,Car@NO 01:00PM ET,NO,
,,,,,,,,,,RB,Le'Veon Bell (7571921),Le'Veon Bell,7571921,7900,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Allen Robinson (7572037),Allen Robinson,7572037,7800,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,DeMarco Murray (7571874),DeMarco Murray,7571874,7700,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Tom Brady (7571833),Tom Brady,7571833,7700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,T.Y. Hilton (7572104),T.Y. Hilton,7572104,7700,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,WR,Brandin Cooks (7572023),Brandin Cooks,7572023,7600,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Ben Roethlisberger (7571829),Ben Roethlisberger,7571829,7500,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,Amari Cooper (7572076),Amari Cooper,7572076,7500,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,DeAndre Hopkins (7572107),DeAndre Hopkins,7572107,7500,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,WR,Dez Bryant (7572093),Dez Bryant,7572093,7400,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,QB,Aaron Rodgers (7571848),Aaron Rodgers,7571848,7300,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,WR,Marvin Jones Jr. (7572043),Marvin Jones Jr.,7572043,7200,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Alshon Jeffery (7572031),Alshon Jeffery,7572031,7100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Andrew Luck (7571856),Andrew Luck,7571856,7100,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,TE,Greg Olsen (7572145),Greg Olsen,7572145,7000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,RB,Ezekiel Elliott (7571960),Ezekiel Elliott,7571960,7000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,RB,LeSean McCoy (7571862),LeSean McCoy,7571862,6900,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,WR,Michael Crabtree (7572070),Michael Crabtree,7572070,6900,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Russell Wilson (7571846),Russell Wilson,7571846,6900,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Jarvis Landry (7572053),Jarvis Landry,7572053,6800,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Julian Edelman (7572062),Julian Edelman,7572062,6800,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Christine Michael (7571946),Christine Michael,7571946,6800,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,WR,Jordan Matthews (7571984),Jordan Matthews,7571984,6700,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Todd Gurley (7571915),Todd Gurley,7571915,6700,LA@Det 01:00PM ET,LA,
,,,,,,,,,,TE,Rob Gronkowski (7572176),Rob Gronkowski,7572176,6700,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Matt Ryan (7571844),Matt Ryan,7571844,6700,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,RB,Lamar Miller (7571965),Lamar Miller,7571965,6600,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,QB,Derek Carr (7571841),Derek Carr,7571841,6500,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Doug Baldwin (7572082),Doug Baldwin,7572082,6500,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Derek Anderson (7571812),Derek Anderson,7571812,6400,Car@NO 01:00PM ET,Car,
,,,,,,,,,,WR,Willie Snead (7572020),Willie Snead,7572020,6400,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Blake Bortles (7571820),Blake Bortles,7571820,6300,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Jeremy Maclin (7572071),Jeremy Maclin,7572071,6300,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,RB,Jordan Howard (7571908),Jordan Howard,7571908,6200,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Matthew Stafford (7571823),Matthew Stafford,7571823,6200,LA@Det 01:00PM ET,Det,
,,,,,,,,,,TE,Jordan Reed (7572127),Jordan Reed,7572127,6100,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Marcus Mariota (7571805),Marcus Mariota,7571805,6100,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Terrelle Pryor Sr. (7571996),Terrelle Pryor Sr.,7571996,6100,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Carson Wentz (7571799),Carson Wentz,7571799,6000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,RB,Mark Ingram (7571896),Mark Ingram,7571896,6000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,WR,Randall Cobb (7572097),Randall Cobb,7572097,6000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Eli Manning (7571807),Eli Manning,7571807,5900,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Dak Prescott (7571852),Dak Prescott,7571852,5900,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,WR,Will Fuller (7572114),Will Fuller,7572114,5900,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,WR,DeSean Jackson (7571981),DeSean Jackson,7571981,5800,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Joe Flacco (7571806),Joe Flacco,7571806,5800,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Brian Hoyer (7571817),Brian Hoyer,7571817,5800,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Eddie Lacy (7571955),Eddie Lacy,7571955,5800,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Alex Smith (7571838),Alex Smith,7571838,5700,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Kirk Cousins (7571798),Kirk Cousins,7571798,5600,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,WR,Sterling Shepard (7572014),Sterling Shepard,7572014,5600,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Devonta Freeman (7571947),Devonta Freeman,7571947,5600,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Tony Romo (7571849),Tony Romo,7571849,5600,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,TE,Delanie Walker (7572130),Delanie Walker,7572130,5500,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,WR,Steve Smith Sr. (7572004),Steve Smith Sr.,7572004,5500,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Andy Dalton (7571834),Andy Dalton,7571834,5500,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Ryan Tannehill (7571830),Ryan Tannehill,7571830,5400,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,RB,Spencer Ware (7571939),Spencer Ware,7571939,5400,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Brock Osweiler (7571857),Brock Osweiler,7571857,5400,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,QB,Tyrod Taylor (7571792),Tyrod Taylor,7571792,5300,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,RB,Theo Riddick (7571911),Theo Riddick,7571911,5300,LA@Det 01:00PM ET,Det,
,,,,,,,,,,WR,Donte Moncrief (7572111),Donte Moncrief,7572111,5300,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,WR,Mike Wallace (7572008),Mike Wallace,7572008,5200,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Frank Gore (7571961),Frank Gore,7571961,5200,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,RB,Carlos Hyde (7571864),Carlos Hyde,7571864,5100,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,RB,Jonathan Stewart (7571893),Jonathan Stewart,7571893,5100,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Jay Cutler (7571816),Jay Cutler,7571816,5100,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,RB,Jamaal Charles (7571934),Jamaal Charles,7571934,5100,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Colin Kaepernick (7571790),Colin Kaepernick,7571790,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Christian Ponder (7571791),Christian Ponder,7571791,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,EJ Manuel (7571793),EJ Manuel,7571793,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Blaine Gabbert (7571794),Blaine Gabbert,7571794,5000,SF@Buf 01:00PM ET,SF,
,,,,,,,,,,QB,Cardale Jones (7571795),Cardale Jones,7571795,5000,SF@Buf 01:00PM ET,Buf,
,,,,,,,,,,QB,Chase Daniel (7571796),Chase Daniel,7571796,5000,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,QB,Colt McCoy (7571797),Colt McCoy,7571797,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Nate Sudfeld (7571800),Nate Sudfeld,7571800,5000,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,QB,Josh McCown (7571801),Josh McCown,7571801,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Matt Cassel (7571802),Matt Cassel,7571802,5000,Cle@Ten 01:00PM ET,Ten,
,,,,,,,,,,QB,Charlie Whitehurst (7571803),Charlie Whitehurst,7571803,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Cody Kessler (7571804),Cody Kessler,7571804,5000,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,QB,Josh Johnson (7571808),Josh Johnson,7571808,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,QB,Ryan Mallett (7571809),Ryan Mallett,7571809,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Ryan Nassib (7571810),Ryan Nassib,7571810,5000,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,RB,Terrance West (7571886),Terrance West,7571886,5000,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,QB,Luke McCown (7571813),Luke McCown,7571813,5000,Car@NO 01:00PM ET,NO,
,,,,,,,,,,QB,Joe Webb (7571814),Joe Webb,7571814,5000,Car@NO 01:00PM ET,Car,
,,,,,,,,,,QB,Chad Henne (7571818),Chad Henne,7571818,5000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,QB,Matt Barkley (7571819),Matt Barkley,7571819,5000,Jax@Chi 01:00PM ET,Chi,
,,,,,,,,,,QB,Brandon Allen (7571821),Brandon Allen,7571821,5000,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,QB,Dan Orlovsky (7571822),Dan Orlovsky,7571822,5000,LA@Det 01:00PM ET,Det,
,,,,,,,,,,QB,Case Keenum (7571824),Case Keenum,7571824,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Sean Mannion (7571825),Sean Mannion,7571825,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Jared Goff (7571826),Jared Goff,7571826,5000,LA@Det 01:00PM ET,LA,
,,,,,,,,,,QB,Bruce Gradkowski (7571827),Bruce Gradkowski,7571827,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,QB,Matt Moore (7571828),Matt Moore,7571828,5000,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,Landry Jones (7571831),Landry Jones,7571831,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,QB,Zach Mettenberger (7571832),Zach Mettenberger,7571832,5000,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,WR,DeVante Parker (7572055),DeVante Parker,7572055,5000,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,QB,AJ McCarron (7571835),AJ McCarron,7571835,5000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,QB,Jimmy Garoppolo (7571836),Jimmy Garoppolo,7571836,5000,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Jeff Driskel (7571837),Jeff Driskel,7571837,5000,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,RB,LeGarrette Blount (7571927),LeGarrette Blount,7571927,5000,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,QB,Nick Foles (7571839),Nick Foles,7571839,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt McGloin (7571840),Matt McGloin,7571840,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,QB,Tyler Bray (7571842),Tyler Bray,7571842,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Connor Cook (7571843),Connor Cook,7571843,5000,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,TE,Travis Kelce (7572183),Travis Kelce,7572183,5000,KC@Oak 04:05PM ET,KC,
,,,,,,,,,,QB,Matt Schaub (7571845),Matt Schaub,7571845,5000,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,QB,Trevone Boykin (7571847),Trevone Boykin,7571847,5000,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,QB,Mark Sanchez (7571850),Mark Sanchez,7571850,5000,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,QB,Brett Hundley (7571851),Brett Hundley,7571851,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Joe Callahan (7571853),Joe Callahan,7571853,5000,Dal@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Scott Tolzien (7571854),Scott Tolzien,7571854,5000,Ind@Hou 08:30PM ET,Ind,
,,,,,,,,,,QB,Brandon Weeden (7571855),Brandon Weeden,7571855,5000,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,QB,Tom Savage (7571858),Tom Savage,7571858,5000,Ind@Hou 08:30PM ET,Hou,
,,,,,,,,,,RB,Ryan Mathews (7571868),Ryan Mathews,7571868,4900,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,TE,Jimmy Graham (7572192),Jimmy Graham,7572192,4900,Atl@Sea 04:25PM ET,Sea,
,,,,,,,,,,RB,DeAngelo Williams (7571917),DeAngelo Williams,7571917,4800,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,RB,Tevin Coleman (7571949),Tevin Coleman,7571949,4800,Atl@Sea 04:25PM ET,Atl,
,,,,,,,,,,WR,Allen Hurns (7572032),Allen Hurns,7572032,4700,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,RB,Arian Foster (7571918),Arian Foster,7571918,4700,Pit@Mia 01:00PM ET,Mia,
,,,,,,,,,,WR,Sammie Coates (7572054),Sammie Coates,7572054,4700,Pit@Mia 01:00PM ET,Pit,
,,,,,,,,,,RB,Isaiah Crowell (7571878),Isaiah Crowell,7571878,4600,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Giovani Bernard (7571930),Giovani Bernard,7571930,4600,Cin@NE 01:00PM ET,Cin,
,,,,,,,,,,WR,Chris Hogan (7572065),Chris Hogan,7572065,4600,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,WR,Corey Coleman (7572001),Corey Coleman,7572001,4500,Cle@Ten 01:00PM ET,Cle,
,,,,,,,,,,RB,Rashad Jennings (7571882),Rashad Jennings,7571882,4500,Bal@NYG 01:00PM ET,NYG,
,,,,,,,,,,TE,Martellus Bennett (7572175),Martellus Bennett,7572175,4500,Cin@NE 01:00PM ET,NE,
,,,,,,,,,,RB,Darren Sproles (7571867),Darren Sproles,7571867,4400,Phi@Was 01:00PM ET,Phi,
,,,,,,,,,,WR,Jamison Crowder (7571988),Jamison Crowder,7571988,4400,Phi@Was 01:00PM ET,Was,
,,,,,,,,,,RB,T.J. Yeldon (7571906),T.J. Yeldon,7571906,4400,Jax@Chi 01:00PM ET,Jax,
,,,,,,,,,,WR,Golden Tate (7572042),Golden Tate,7572042,4400,LA@Det 01:00PM ET,Det,
,,,,,,,,,,RB,Latavius Murray (7571937),Latavius Murray,7571937,4400,KC@Oak 04:05PM ET,Oak,
,,,,,,,,,,WR,Cole Beasley (7572096),Cole Beasley,7572096,4400,Dal@GB 04:25PM ET,Dal,
,,,,,,,,,,TE,Dennis Pitta (7572138),Dennis Pitta,7572138,4300,Bal@NYG 01:00PM ET,Bal,
,,,,,,,,,,RB,Fozzy Whittaker (7571894),Fozzy Whittaker,7571894,4300,Car@NO 01:00PM ET,Car,
